CD_MUN;NM_MUN; V06001 ; V06002 ; V06003 ; V06004 ; V06005 
3129657;Ibiracatu; 1.774 ; 5.081 ; 2 ; 1.312 ; 1.248.788 
2910305;Elísio Medrado; 2.982 ; 7.797 ; 2 ; 1.312 ; 3.873.445 
2907806;Cícero Dantas; 11.672 ; 30.866 ; 2 ; 1.312 ; 2.508.581 
2902906;Barra do Choça; 12.260 ; 36.493 ; 2 ; 1.311 ; 2.115.570 
2803807;Malhada dos Bois; 1.197 ; 3.573 ; 2 ; 1.311 ; 1.067.228 
2601409;Barreiros; 13.356 ; 40.068 ; 2 ; 1.311 ; 1.932.463 
2203503;Elesbão Veloso; 4.806 ; 13.604 ; 2 ; 1.311 ; 1.515.407 
2616506;Xexéu; 3.951 ; 11.610 ; 2 ; 1.311 ; 1.982.804 
2104701;Graça Aranha; 1.978 ; 6.021 ; 2 ; 1.311 ; 2.034.005 
2207306;Paes Landim; 1.353 ; 4.088 ; 2 ; 1.311 ; 1.394.256 
3127339;Gameleiras; 1.745 ; 4.775 ; 2 ; 1.311 ; 5.317.020 
2209856;São João da Canabrava; 1.565 ; 4.240 ; 2 ; 1.311 ; 1.359.598 
2908101;Cocos; 6.278 ; 19.077 ; 2 ; 1.310 ; 4.113.841 
2800209;Aquidabã; 7.408 ; 20.067 ; 2 ; 1.310 ; 3.769.852 
2922706;Nova Canaã; 4.995 ; 13.703 ; 2 ; 1.310 ; 1.995.973 
2919702;Macarani; 7.239 ; 21.571 ; 2 ; 1.310 ; 1.811.772 
2209450;Santo Antônio dos Milagres; 606 ; 2.137 ; 3 ; 1.310 ; 2.441.826 
2614600;Tabira; 9.973 ; 27.630 ; 2 ; 1.310 ; 2.563.974 
1200393;Porto Walter; 2.589 ; 10.623 ; 4 ; 1.309 ; 3.204.477 
2313955;Varjota; 6.118 ; 18.089 ; 2 ; 1.309 ; 2.851.243 
2804102;Moita Bonita; 4.204 ; 11.046 ; 2 ; 1.308 ; 2.136.665 
2506608;Ibiara; 2.017 ; 5.627 ; 2 ; 1.308 ; 2.495.799 
2107357;Nova Olinda do Maranhão; 4.282 ; 14.227 ; 3 ; 1.308 ; 1.589.983 
2502508;Boqueirão; 5.966 ; 17.545 ; 2 ; 1.308 ; 1.595.292 
2514651;São José do Brejo do Cruz; 542 ; 1.696 ; 2 ; 1.308 ; 1.028.454 
2202851;Coronel José Dias; 1.485 ; 4.240 ; 2 ; 1.307 ; 8.386.291 
1302801;Maraã; 3.000 ; 15.270 ; 8 ; 1.307 ; 4.675.475 
2906006;Campo Formoso; 24.287 ; 71.265 ; 2 ; 1.307 ; 2.858.995 
2104206;Fortuna; 5.136 ; 16.971 ; 3 ; 1.307 ; 3.574.753 
2701209;Cacimbinhas; 3.581 ; 10.473 ; 2 ; 1.307 ; 2.395.615 
2308302;Milagres; 8.748 ; 25.855 ; 2 ; 1.307 ; 2.226.329 
